type,description,val,unit,complexity," inside",pics
Jumping rope,Jumping Rope,100," jump"," 1","FALSE",https://mir-s3-cdn-cf.behance.net/project_modules/disp/de52fe43854943.57ff21da18eb1.gif
Bodyweight,Plank," 45",seconds," 1","TRUE ",https://thumbs.gfycat.com/OpulentZanyBumblebee-size_restricted.gif
Bodyweight,Squat,16,x,1,"TRUE",https://thumbs.gfycat.com/SentimentalRecentGoldenretriever-size_restricted.gif
Bodyweight,Lunge,16,x / each side,1,"TRUE",https://media0.giphy.com/media/l3q2Q3sUEkEyDvfPO/giphy.gif
Bodyweight,"Single-Leg Bridge
",16,x / each side,1,"TRUE",https://thumbs.gfycat.com/InfiniteMealyErin-small.gif
Bodyweight,Glute Bridge,16,x / each side,1,"TRUE",https://thumbs.gfycat.com/ConcernedPointedHornet-size_restricted.gif
Bodyweight,Plyo Lunge,16,x / each side,1,"TRUE",https://media.giphy.com/media/l3q2Q3sUEkEyDvfPO/giphy.gif
Bodyweight,"Mountain Climber
",16,x / each side,1,"TRUE",https://media1.tenor.com/images/10c312086cb391b4d048705b11bf8ae3/tenor.gif?itemid=14271453
KettleBell,Russian Twist,16,"x ",1,"TRUE",https://thumbs.gfycat.com/FirstEvenFlea-size_restricted.gif
Bodyweight,Leg Lift,16,x,1,"TRUE",https://thumbs.gfycat.com/SickBrownIsabellinewheatear-max-1mb.gif
Bodyweight,Push-Up,8,x,1,"TRUE",https://media.giphy.com/media/eK12uCsrAh4wmTXejp/giphy.gif
Bodyweight,Crawl Out to Pushup,8,x,1,"TRUE",https://thumbs.gfycat.com/ImmenseYawningAxolotl-small.gif
Bodyweight,Crawl Out to Pushup to mountain climber,8,x,1,"TRUE",https://thumbs.gfycat.com/IdenticalNervousBarb-small.gif
Bodyweight,Plank March,16,x,1,"TRUE","https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_480,h_270/https://dylankyang.com/wp-content/uploads/2019/05/Marching-Planks-GIF-downsized_large.gif"
Abs wheel,Abs roll,8,x,"1 ","TRUE",https://thumbs.gfycat.com/FrenchVictoriousBat-small.gif
Bodyweight,sit up,16,x,1,"TRUE",https://media.giphy.com/media/FvfUDSqHruCDm/giphy.gif
